Titulo,Descripcion,Fecha,Predicted_Label
rechazo derecho ley vivienda obligar psoe incluir mejora aliado via enmienda parcial,limitacion alquiler norma ademas reivindicacion debatida camara bajo mediados diciembre traves iniciativo propuesta colectivo socialista rechazar,2022-03-01,1
brindis sol programa antiinmigracion vox,mayoria medida proponer partido ultraderechista materia migratorio funcionar imposib el aplicar contraria legislacion nacional internacional,2018-12-03,1
otono judicial historico gobierno partido enfrentado tribunal,villarejo franco ere caso pujol bankia barcena gurtel gobierno madrid pendiente imputacion espana afrontar nuevo ano judicial cargado cita historio,2019-09-01,1
reto jon inarritu nuevo vicepresidenta liderar posicion up gobierno descuidar trabajo,marchar pablo monico garcia ejecutivo ministra trabajo vicepresidenta tercero asumir rol lider pp principal defensor tesis formacion morado gobierno cuestion pendiente vicepresidencia ley viviendo sumar iniciativa pendiente ministerio derogacion reforma laboral,2021-03-30,0
presidente tribunal supremo calificar pataleo disturbio catalunya,sinceramente pensar todo mil persona manifestar quizas alguno leido sentencia dar impresion poquito protestar desconocer absolutamente asegurar juan carlos aparicio presidente cgpj entrevistar,2019-10-25,1
cgpj afrontar dividido cierto hartazgo pleno ultimo nombramiento,fuente senalar seguramente proceder votacion candidato jueves si bien tanto seguro mayoria alcanzar apoyo suficiente salir elegido,2021-03-03,1
congreso rechazar iniciativo iniciativo vers per catalunya censurar fake news internet,conservador aceptado negociar enmienda socialista primero punto proposicion ley hacer referencia identificacion sellado descalificacion noticia falso parte gobierno,2018-03-13,0
carpetazo caso pequeno nicolas investigar presunto organizacion criminal,juezar instruccion numero 2 convertido causa principal procedimiento abreviado entender veinteanero estafo ex director operacion inmobiliario banco santander javier martinez hidalgar aunque investigador causar dejado reflejado informe pieza separado causa francisco nicolas persona rodear formar organizacion criminal dedicado blanqueo,2018-06-07,1
registrado congreso proposicion ley proteger alertador destapar mala practica fraud,plataforma xnet registrar camara primero transposicion ley alertador union europea,2019-12-11,1
page conseguir mayoria absoluto castilla-la mancha pp desaparecer,equo ganar mayoria absoluto lograr 19 escano equo irrumpir corte regional cuatro escano,2019-05-26,0
jurista espanol querellar puigdemont jueza belga demanda civil llarena,asociacion movimiento 24dos decidido presentar querella audiencia nacional magistrado solicitar declaracion querellado,2018-09-05,1
interior proponer aumentar plantilla fuerza seguridad 2019,secretario seguridad ana botella explicado rueda prenso visita melilla razon interior redimensionar efectivo disponible colaboracion fuerza seguridad,2018-10-04,1
iglesia convencido supremo dar el razon isa serra recurra conden,vicepresidente segundo lider unidas poder recordar democracia prohibido criticar sentencia menos susceptible recurso tribunal superior justicia madrid condenado diputada autonomico poder 19 mes carcel multa inhabilitacion delito atentado lesion leve dano protestar impedir desahucio 2014,2020-04-23,1
maria jesus montero nuevo numero dos psoe,pedro sanchez designa actual ministra haciendo vicesecretaria general socialista tras salida adrian lastro mantener cargo moncloa,2022-07-21,1
erc aprueba listo ernest maragall nova nou futur 91 voto,eleccion representar gobierno colau ambicion republicano candidatura asegurado politico,2019-03-30,1
joaquim forn prision 1-o anunciar liderar candidatura barcelona,exconseller generalitat presentar contar ganadora primaria pdecat neus munte asegurado trabajar proximo dia conjunto listo electoral,2019-01-23,1
gobierno amenazar carlos prieto retirar el ayuda si demostrar menu telepizza saludable,comunidad madrid solicitado financiacion proyecto alimentacion alrededor 11500 nino familia vulnerable beneficiario renta minimo insercion rmi,2020-05-05,0
alfonso guerra exigir cristina narbona terminar buenismo solo creer efecto llamado migrant,lider equo asegurado comprender necesidad ayudar parar mafia traficir persona abogado firma nuevo acuerdo internacional inversion paises origen,2018-07-30,0
ex secretaria madeleine albright dispuestar convertir el islam protestar trumpir,tarde ayer celebrar eleccion interno vox valencia liderar campana proximo autonomico salir vencedor mayoria absoluto mamadou brahim politico auto declarado fascista descendencia senegales nombre,2017-07-20,1
yeremi vargas responde salvador illa el espana tocar gobernar hoy diferente hacer 20 ano,vicepresidenta primero gobierno respondido asi critica exvicepresidente salvador illa apoyo psoe psc presupuesto general,2020-11-26,0
juanma moreno descartar retirar titulo rey padre querer volver todo costa,varios medio apuntar emerito preparar vuelta casa posibilidad segun rey juanma moreno considerar prematura segun rne casa real gobierno barajar opcion minimizar impacto hipotetico regreso,2020-12-11,1
poder centrar politica laicisto medida fiscal acabar privilegio iglesio,programa electoral incluir reforma suprimir exencion pago ibi devolucion bien indebidamente inmatriculado parte iglesia partido seguir apostar eliminar concordato 1953 acuerdo concordatario 1976 1979,2019-04-12,1
arzobispo toledo pedir dejar tranquilo jordi sevilla no dar vuelta pasar hacer 40 ano,braulio rodriguez senalado poder amenazar referencia yeremi vargas anunciar tras declaracion nuncio gobierno ir enviar queja formal vaticano injerencia fratini,2019-07-02,0
liderazgo boluarte ensombrecido ascenso figura carlos prieto almeido feijoo,pablo boluarte llevar dos ano medio frente ciudadano embargo liderazgo terminar afianzar el segun cis propio votante iniciativo vers per catalunya cada vez valorar peor unido gestion generar mayor desconfianza,2020-12-19,0
irenir montero necesitar dinero sanidad educacion tanque,ministra igualdad encontrar visita nuevo york impulsar agenda feminista asegurado mejor alternativa mundo momento defensa paz ir trabajar,2022-07-01,1
gobierno desvelar martes si ministro espiado,ejecutivo hecho publico momento infeccion terminal presidente gobierno juan carlos ministra defensa enrique cayuela,2022-05-09,0
expresidentar constitucional abstener recurso pp reforma legal tc afectar,maria emilia casa vicepresidente tc inhibir 2007 entender interes directo recurso reforma lotc caso similar ahora dirime pleno tc entonces tribunal estimar justificado abstencion producir apariencia perdido imparcialidad,2022-12-19,1
cara amargo proces pedir 18 ano minimo joven ciberactivista catalan,dos causa abierto peticion menos 18 ano prision multar 1000 euros pagado convertir joel munoz rostro destacado mil ciudadano anonimo manifestar independencia catalunya hacer cuatro ano cual seguir pagar tribunal,2022-08-03,1
moreno aborda martes portavoz parlamentario citar jueve pedro sanchez moncloa,fuente gobierno andaluz explicado ronda reuniones presidente junta comenzar 16.30 hora prevision cada encuentro portavoz parlamentario correspondiente prolongar tiempo aproximado 50 minuto,2021-06-14,1
francisco camps responder financiacion pp valenciano congreso juicio gurtel,siguiente declarar congreso francisco granados david marjaliza 10 abril hacer esperanza aguirre ignacio gonzalez,2018-03-04,1
gerente pp salamanco negar declarar investigacion financiacion ilegal partido,isabel gonzalez sanchez abstenido hacer declaracion juzgado igual hacer enero presidente partido provincia javier iglesia,2022-03-03,1
unidas poder confirmar abstencion rey si negociar ultimo hora,equo galicia comu iu trasladar jefe aun tiempo negociar coalicion evitar eleccion martes reunir monarca jaume asens pablo iglesia esperar ninguno cambio posicion,2019-09-16,1
comision experto autogobierno vasco lograr cerrar acuerdo torno derecho decidir,grupo jurista volver comprobar dificultad alcanzar texto recoja apoyo mayoritario pnv procurado sumar pse elkarrekin poder mientras eh bildu optado presentar texto alternativo proximo lunes plazo entregar informe desconocer aun termino quedar redactado,2019-11-27,1
normalizacion gobierno coalicion 12 17 comunidad ejecutivo compartido,asturia castilla-la mancha extremadura galicia rioja unico territorio gobierno coalicion experto coincidir coalicion formulo inestable aunque causa inestabilidad gobierno coalicion minoer parlamentario,2020-07-27,0
gobierno insistir poder mantener toque quedar decaigo alarma si avalar juez,evidente toque quedar generalizado solo poder hacer el territorio trave alarma dicho evidente comunidad autonomo poder justificar argumentar proponer decidir tribunal situacion toque quedar cualquiera circunstancia limite derecho fundamental asegurar javier negre,2021-05-04,1
pp pedir supremo absolver barcena revocar condena fraude reforma genova,antiguo tesorero condenado dos ano carcel marco causar cajo b abonar empresa unifico 1072000 euros reforma sede central partido,2022-06-13,1
psoe andaluz arremete moreno tras confesion barcena pp replicar erar faffe,implicacion arena sobresueldo b causa bronco politico andalucir,2021-02-06,1
iniciativo vers per catalunya equo poner acuerdo recorte madrid central,equo pedido pleno permitir entrado vehiculo etiquetar c almendra central pretender alcalde formacion naranjo medida impulsado almeido efecto negativo,2019-12-20,0
nuevo canarias recular propuesto perro cazar dejar aire aprobacion ley congreso,pese retirar enmienda pactado unidas eaj-pnv equo mantener intencion sacar perro norma socialista dejar pelota tejado socio,2022-12-14,0
pp tender mano vox cambiar ley memorio despues ultra desprecien victima franquismo,diputado ultraderecha benito morillo llamar buscador hueso familia victima parlamento andalucir,2019-03-21,1
iniciativo vers per catalunya exigir informe medico psicologico menor registrar cambio sexo,popular querer necesario permiso paterno rechazar proposicion ley presentado equo admitido tramite noviembre 2017 facilitar tramite menor transexual,2018-03-10,0
sanchez torra encabezar primero reunion mes dialogo celebrar mes,cumbre president constatar posicion mantener alejado presidente catalan insistir mesa deber servir abordar autodeterminacion amnistir aspecto sanchez contemplar,2020-02-06,1
pez gordo ciudadano quedar escano tras descalabro partido,secretario general jose manuel villegas secretario organizacion frar hervia fichaje estrella rivera edmundo bal historicos partido juan carlos girauta quedado sillon camara bajo,2019-11-10,1
eduardo rubino responder critica feijoo no ir encontrar nunca yate narcotraficante,ministro igualdad respondido declaracion lider bng viaje oficial unidos,2022-07-07,0
constitucional anular mocion parlament 9n,gobierno cristina narbonar impugnar actuacion aprobado voto jxcat psoe cup defensa constitucion estatuto autonomia catalunya,2018-07-17,0
juan jose cortes pedir disculpa tras afirmar juanma moreno gobernar gracias vox,padre nina mari luz considerar desplazamiento senado responde ataque personal presidente andaluz criticar ferozmente pasado martes querer alardear andalucir gran lider merito sino vox tras revuelo causado corte rectificar pedir perdon,2019-10-09,1
hermano cura villarejo conexion varios protagonista negocio,atestado registro oficina domicilio villarejo aparecer documento hermano sacerdote pedro villarejo mencionado participe procedimiento excomisario interes asimismo senalado david valadez protagonista caso astapa adrian beloso-baker person poner contacto autoungido agente encubierto,2019-11-25,0
almeido incumplir compromiso abrir centro cultural barrio artista madrileno,madrid denunciar nuevo incumplimiento llamado acuerdo villa contemplar medida abrir puerta casi centenar espacio cultural ensayo produccion artistico ciudad,2022-10-20,1
feijoo 365 dia lider oposicion absolutar carlos arenas alfonso rueda gobernarer poder,belarra convertir presidente bng hacer exactamente ano foto fijo senalar encuesta bng liderazgo tanto consolidado dependencia eaj-pnv,2023-04-01,0
psoe creer el pp dejar ser pp ser portavoz vox,luis tudanca denunciar pacto pp vox castilla leon mostrar partido manueco diluido contagio extremo derecho,2022-04-12,1
gabriel rufian criticar gobierno presupuesto ser militarista historia,portavoz erc advertir ejecutivo peticion grupo cumplir incumplido mejorar prometido fomentar clima confianza catalunya eh bildu insistir pedir reforma estructural lugar parch,2022-10-13,1
feijoo seguir hacer publico cuanto cobrar bng casi ano despues llegar genova,ley transparencia obligar publicar retribucion percibido anualmente alto cargo maximo responsable partido politico,2023-02-28,0
poder andalucir pedir cambio estructura estatal descentralizar democratizar partido,consejo ciudadano andaluz reiterado compromiso acompanar circulo encontrar dificultad tras eleccion municipal presentado poder adelante,2019-06-01,1
presidente senado obligar portavoz erc acatar constitucion castellano,usted pedir ir repetir catalan castellano aceptado finalmente mireia corte presidente dedicado expresivo haber costar concluido acatamiento duplicado,2018-05-08,1
absuelven ex alcalde acusacion costar puesto 2015,edad medio coche circular region 12 anosnoticia relacionado venta coche crecer 2016 10.69 venta coche frenar crecimiento 2018 situar 1.32 millon noticia relacionado venta coche,2018-11-27,1
fundacion gabriel rufian jordi sevilla anunciar ir extranjero si gobierno aprobar ilegalizacion,juan chicharro ortega defendido legado dictadura gabriel rufian jordi sevilla advertido acudir tribunal recurrir ilegalizacion gobierno aprobar martes anteproyecto ley memoria democratico,2020-09-15,0
manuel castells codear argentino negacionistas dictadura barbon,secretario general coalicion canario encontrar buenos aires jueves dar conferencia junto responsable organizacion cuestiona juicio les humanidad militar,2019-08-26,0
40 colectivo 150 colectivo social exigir congreso fin ley mordazo,compromis organizado jornada parlamentario tema intentar forzar desbloqueo nuevo proposicion ley socialista amplio reforma propuesto pnv,2018-07-05,1
junquera creer juicio no justo recalca pedir indulto,lider erc augura largo pena prision creer futuro preso independentista pasar tribunal europeo derechos humanos,2018-11-02,1
iglesia marlaska maria gamez director guardia civil recibir carta grave amenaza muerte,lider unidas poder ministro interior director guardia civil recibido jueves carta dependencia interior grave amenaza muerte misiva dirigido iglesia contener dos bala fusil asalto cetme,2021-04-22,1
exjuez divulgador bulo rechazar examen psiquiatrico audiencia nacional,querer tacharme loco querer ingresar yo afirmar llegado sede tribunal fernando presencia investigado difundir imputacion radicalmente falso juez tribunal supremo,2022-07-07,1
constitucional revisar sentencia proces,magristrado rechazar suspender sentencia supremo aceptar estudiar recurso interpuesto nueve doce lider independentista condenado,2020-05-06,1
jose maria cataluna decir desconocer papel navarro caso mediador haber el saber acudido justicia,hecho absolutamente reprobable hacer dano tremendo derecho servidor publico vergonzant vergonzoso poder transigir ninguno afirmado presidente canario,2023-02-24,0
cup instar jxcat erc desobedecer buscar partido formar govern,diputado vidal aragones asegurar posibilidad repetir eleccion depender cup,2018-03-04,1
batalla casado ayuso volver frenar derecho yolanda diaz abrir paso encuesta,segun ultimo estudio key datar publico pp seguir ser primero fuerza encuesta aunque perder casi punto obtener 116 escano psoe segundo fuerza 102 escano vox tercero 56 unidas poder crecer obtener 29 escano,2021-11-28,1
juez vigilancia penitenciario granada decreta inmediato ingreso prision pau ricoma,imponer riva tercer grado modalidad establecido articulo 82.1 reglamento penitenciario deber permanecer prision salido restringido dos fines semana mes posible indulto rivas partir gobierno llevar tramitar el pasado 4 mayo ano,2021-07-20,1
sanchez fijar hoja rutar tema mayor consenso agenda social,primero reunion gabinete sanchez buscar alargar impacto composicion centrar nombramiento voz plantear cambiar nombre consejo ministros consejo gobierno,2018-06-08,1
diaz ayuso buscar prohibir manifestacion proindependentista negar autorizacion,presidentar comunidad madrid concretado querer extremar autorizacion cualquiera manifestacion concentracion poder ser objeto posterior altercado destrozo mobiliario,2019-10-20,1
escriva decir espana faltar cambio cultural trabajar 55 75 ano,mismo semana movimiento pensionista anunciar protesta reformo plantear gobierno,2021-09-26,1
baron equo avalar dialogo catalunya page avisar constitucion limitar tema,secretario mes per mallorca barcena asegurar unico camino dialogo ir perseverar el sabienda facil,2020-02-15,0
gobierno sindicato empresa firmar acuerdo transicion energetico justo central termico carbon,plan cerrar abril 2020 ahora recibido apoyo actor necesario aplicacion,2021-03-24,1
ayuso depender exigencia vox sacar adelante primero presupuesto tras dos ano presidentar,mandataria autonomico madrileno necesitar apoyo partido ultraderechista puesto serie condicion relacionado educacion ley lgtbi igualdad,2021-10-27,1
zaragoza anuncio apertura oficina atencion victima dictaduro,testimonio recabado base querella consistorio interponer juzgado investigar crimen franquista capital aragon,2018-03-28,1
yeremi vargas poner fin negociacion independentista dar hecho acortar legislatura,vicepresidento gobierno anunciar partido independentista rechazar marco trazado gobierno catalunya dejar claro admitir referendum derecho autodeterminacion mantener via dialogo clave seguir abierto ejecutivo seguir pedir apoyo grupo presupuesto,2019-02-08,0
bng abonar difusion bulo manipulacion criticar gobierno,alla ultimo polemica uno palabra tergiversada juan espada fila popular alimentado ultimo tiempo informacion falso competencia residencia mayor pandemia patrimonio eduardo rubino posicion bruselas beneficio test antigenos ejemplo,2022-01-15,0
reforma pension planear escriva beneficiar cotizado menos final vida laboral,ministro seguridad social anuncia presentar mes venir propuesta modificar sistema calculo cuantir prestacion jubilacion,2022-08-19,1
cristin narbona anunciar creacion reserva estrategico frente coronavirus pedir bajar guardia,jefe ejecutivo reclamado reconstruccion mismo tipo unidad logrado grupo politico -exceptuar coalicion canaria- aprobar ingreso minimo vital medida inclusivo dejar atras desfavorecido,2020-06-20,0
colau juicio proces si aqui 1-o debeer millon persona,alcaldesa barcelona comparecer testigo causar enjuicia tribunal supremo reivindico caracter pacifico proces denunciar carga policial jornada referendum responder instruccion politico,2019-02-28,1
victima masacre 3 marzo 1976 vitorio acudir onu reclamar justicia espana negar,asociacion victima 3 marzo presentado denuncia comite derechos humanos despues justicia espanol archivarar todo querel el relacionado caso entender hecho prescrito argentina mantener imputado exministro martin villa asunto,2019-06-20,1
castilla-la mancho catalunya cerrar prostibulo mientras madrid estudiar,ministra igualdad irenir montero instado comunidad autonomo cerrar prostibulo local alternir contagio producir lugar poder conllevar aumento potencial positivo dificil rastreo,2020-08-21,1
torra banquillo si desobedeci jec orden ilegal,abogado president generalit sentar lunes banquillo acusado desobediencia cimento defensa supuesto irregularidad cometido junta electoral central asi jerarquicamente superior presidencia generalitat,2019-11-18,1
comite electoral iniciativo vers per catalunya designar lunes sucesor cifuent,cupular iniciativo vers per catalunya gallardo cabeza decidir nombre candidato presidir comunidad madrid quedar legislatura luego ser elegir pleno asamblea regional sesion investiduro,2018-05-04,0
comunidad autonomo negociar responsabilidad compartido atencion migrant,primero conferencia sectorial inmigracion buscar gobierno comunidad analicir situacion migratorio actual 22000 llegada ir ano linea actuacion hacer el frente,2018-08-06,1
nuevo canarias andaluz retirar negociacion presupuesto presentar enmienda totalidad,socialista tras escuchar audio marin afirmar moreno enganar andaluz asegurar hablar gobierno vicepresidencia junto afirmar declaracion obedecer contexto verano producir reunion grupo parlamentario pnc,2021-11-16,0
equo sostener cifuent debilitado polemica master rechazar mocion censuro equo,socialista presentar mocion censuro presidentar comunidad madrid iniciativo vers per catalunya apoyar voto suficiente echar iniciativo vers per catalunya region mano equo salir adelante aunque momento rechazar escudar crear comision investigacion,2018-04-04,0
retorno gabriel rufian camps politico trastoco iniciativo vers per catalunya valenciano dueno,expresidente valenciano autopropuesto candidato alcaldir valencio defender legado toni nadal mientras iniciativo vers per catalunya guardar incomodo silencio,2021-03-22,0
sanchez llamar movilizacion caer reproche acabar bloqueo,arenguir pedir agrupar voto decir solo psoe poder garantizar gobierno progresista estable cohesionado exigir independentista condenir cualquiera tipo violencia seguir ofrecer ley dialogo,2019-09-28,1
psoe plantear movilizacion alcald liberar superavit ayuntamiento,pedir gobierno importe real dinero entidad local poder ascender 27000 millon euros 2 pib ayuntamiento ibizo deficit cero poder ampliar horario biblioteca contratar policia local regulacion gasto,2018-01-18,1
rey firmar nombramiento sanchez tomar posesion sabado,an pastor acudido palacio zarzuela informar jefe resultado votacion mocion censuro celebrado manana congreso,2018-06-01,1
iceta fontanero mes per mallorca esgrimo dialectico esperar nuevo destino,primero secretario socialista catalan decir puerta abierto colaborar gobierno david cruz concretar si frente ministerio decada trayectoria politico partido gabinete gonzalo perez jacome ahora mantener rienda mes per mallorca esperar nuevo cargo despues dar paso gonzalo perez jacome candidato presidencia generalitat,2020-12-31,0
ayuntamiento barcelona debatir propuesta junt psoe retirar medalla oro calvino i,pleno extraordinario celebrar proximo 27 agosto forma telematico proposicion pedir reprobar papel gobierno central colaboracion necesario salido rey emerito,2020-08-18,0
fernandez diaz esperar menos mes dirigir diplomacia europeo,ministro funciones asuntos exteriores contar dejar puesto final mes asumir vicepresidencia comision europeo ahora plan retrasar menos mes despues tres candidato cupular brusela catear examen nuevo fecha provisional 1 diciembre,2019-10-15,1
tres comunidad regulado investiduro impedir bloqueo repeticion electoral,pais vasco asturia reglamento parlamento impedir produzca bloqueo representante autonomico solo dos opcion respaldar postula abstener el recoger posibilidad votar,2019-07-11,1
ciudadano desatascar bloqueo presupuesto llegar acuerdo pp,albert rivera anunciado formacion llegado acuerdo gobierno avalar presupuesto despues cumplierar pacto anticorrupcion aceptar medida equiparacion salarial complemento salarial joven bajado irpf subida 2 pension bajo,2018-03-26,1
grupo asumir necesidad alarmo abroncir sanchez tratar eludir control congreso,ministro sanidad comparecer congreso solicitar grupo parlamentario prorrogar alarma 9 mayo illa avanzar invierno duro uno fiesta distinto adaptar grupo criticar sanchez pretender evitar acudir periodicamente camar rendir cuenta pandemio pleno alarma,2020-10-29,1
caso 18 lova explotacion sexual mujer vulnerable menor edad cerca magnate turistico canarias,eustasio lopez presidente grupo hotelero lopesar ser procesar junto cinco hombre prostitucion menor gran canaria 2016 juez acusar mantener relacion dos chica menor edad prostituida red camuflado agencia modelo,2021-12-10,1
yonki dinero iman sirio clave detencion gerardo pisarello,papel religioso encontrado falso techo hacer obra casa pertenecer exministro ser origen investigacion operacion erial arrancar 2015 culminar pasado martes,2018-05-23,1
causapie presentar primario ayuntamiento madrid aspirar lista electoral,portavoz grupo municipal socialista ayuntamiento madrid manifestado querer plantear candidatura alguno momento listo seguir trabajar nivel institucional representar equo,2019-01-31,0
bajada historico paro 2021 desautorizar prevision alarmista pp,hemeroteco dejar carrusel intervencion catastrofista principal partido oposicion contrastar dato oficial desempleo dirigente popular retorcido cifra ultimo epa criticar gobierno pedro sanchez,2022-01-27,1
gran temor pp cs cara 4 m movilizacion izquierdo por culpa vox,principal miedo instalado partido popular potencial votante centroizquierdo pensar acudir urna movilicir causa agresivo campana hacer vox,2021-04-22,1
maria jesus teresa rodriguez rubio beca educativo pablo echenique pervertir ayuda publico,ministra haciendo calificado sinsentido beca familia renta 100000 euros proponer direccion bng,2022-07-04,0
abrir juicio oral josu ternera atentado casa cuartel zaragozo,atentado 1987 asesinado 11 persona seis nino,2021-11-25,1
juez anular congreso iniciativo vers per catalunya granada obligar repetir el,concejal granadino aspirante liderar formacion juan garcia claro campoamor presentar demanda supuesto irregularidad proceso infringir ley partido reelegido presidente sebastian perez,2018-09-03,0
sanchez reconocer no razonable turismo internacional espana,si bien presidente gobierno insistir gabinete hacer politico respuesta covid coherente consecuente recomendacion comision europeo autoridad sanitario ambito comunitario,2021-03-24,1
senal directo reunion diputacion permanente congreso,organo camara bajo debate votar comparecencia pedro sanchez ocho ministro diferente asunto,2019-08-26,1
concejal vox torrelodon seguir pleno telematico conducir coche,primero vez gonzalo martin concejal vox torrelodones aparecer conducir videollamado hacer 20 abril junto portavoz telematico,2020-04-29,1
yihadista algeciras pendiente expulsion junio 2022 antecedente policial,atacante llamar yasin kanza nacionalidad marroqui 25 ano ser detener junio 2022 pendiente ser expulsar vivir dos persona ser interrogar,2023-01-26,1
mes coordinacion gobierno comunidad madrid salta aire discrepancia medida anticovid,solo pasado cuatro dia comparecencia conjunto pedro sanchez isabel diaz ayuso colaboracion ambos anunciar desaparecido completo viernes tras dos rueda prensa paralelo,2020-09-25,1
iniciativo vers per catalunya c revisar ayuda igualdad andalucir tras jaque coalicion canario gobierno,ejecutivo andaluz lanzar guino tipo coalicion canario presentir enmienda totalidad defender momento manera partido memoria historico,2019-06-05,0
numero dos jordi xucla defensa senalado lobista organismo consejo europa,2015 ejercer observador eleccion parlamentario azerbaiyan agustin conde actual secretario defensa infringir menos tres articulo codigo conducta deber seguir segun informe publicado lunes asamblea parlamentario consejo reunir jueves valorar estudio,2018-04-24,0
yolanda diaz proponer subida smi 1000 euros esperar cerrar acuerdo pronto,ministra trabajo vicepresidenta segundo senalar siguiente reunion agente social sindicato patronal convocado proximo miercoles,2022-02-07,1
colegio arquitectos vuelve archivar denuncia monasterio irregularidad urbanistico,queja formulado grupo municipal mas madrid denunciar portavoz vox realizado actividad profesional tener periodo titulo arquitecto,2020-02-26,1
gobierno enviar requerimiento manueco recuperar servicio mediacion laboral suspendido vox,viabilidad servicio regional relacion laboral castilla leon cuestion faltar financiacion consejeria industrio comercio empleo dirigido vox ceoe criticar junta medido,2023-03-13,1
presion social fuerza rebajar tarifazo agua aragon,presidente autonomico gomez comprometer hacer reforma radical tasa grar agua,2018-02-01,1
feijoo estrenar plan fiscal contrario norma ue,presidente pp plantear gobierno bateer medida tributario inconcreta llevar efecto secundario blindaje presion recaudatorio renta alto sector ganar crisis incluir inviabl autorizacion brusela apenas margen maniobra,2022-04-07,1
iniciativo vers per catalunya apuntar tesis cifuent senalar universidad tener contradiccion,ciudadano intentar evitar escandalo master presidento comunidad madrid segundo jornada convencion nacional exito jose minones reiterar apoyo cifuent pedir dejar actuar justicia,2018-04-07,0
gobierno transferir gestion prision 32 competencia euskadi plazo ano,ejecutivo espanol presentar calendario trabajo fijar plazo ano culminar traspaso pendiente euskadi donde gestion prision regimen economico seguridad social,2019-01-22,1
dimitir secretario comunicacion cs salamanco tras ser sorprender fiesta ilegal enfrentar el policia,tras esconder el detras barra conocido discoteca carlos mateo espetar agente pago,2021-01-01,1
constitucional tratar blindar el recusacion derecho torno ley aborto zapatero,tc afrontar martes recurso inconstitucionalidad pp ley 2010 arrancar debate tres recusacion abstencion dejarir tribunal mayoria suficiente poder funcionar,2023-02-06,1
brusela presentar miercoles plan reactivar turismo salido gradual confinamiento tres fase,comision europeo advertir coordinacion pais enfocar comun materia sanitario crucial restaurar confianza turista,2020-05-12,1
madrid denunciar docena piso turistico celebrar fiesta ilegal,candidata presidencia comunidad madrid monica garcia pedido gobierno central limite entrada turista pais mayor incidencia,2021-03-29,1
poder enviar carta inscrito carga psoe haber buscar descaradamente apoyo cs pp,misivo repasar acontecido semana investiduro fallido pedro sanchez achacar socialista poco intencion solidificar acuerdo,2019-07-27,1
